geom,intersection_lat,intersection_lon,year,st_asgeojson,biccol,pedcol,bickill,pedkill,ambiccol,pmbiccol,ampedcol,pmpedcol,ambickill,pmbickill,ampedkill,pmpedkill,street_names,bicinj,pedinj,ambicinj,pmbicinj,ampedinj,pmpedinj
POINT(-122.47736283 37.7660624867),37.7660624867,-122.47736283,2019,"{""type"":""Point"",""coordinates"":[-122.47736283,37.7660624867]}",3,0,0,0,2,1,0,0,0,0,0,0,"['CROSSOVER DR', 'MARTIN LUTHER KING JR DR']",3,0,2,1,0,0
POINT(-122.47736283 37.7660624867),37.7660624867,-122.47736283,2020,"{""type"":""Point"",""coordinates"":[-122.47736283,37.7660624867]}",1,0,0,0,0,1,0,0,0,0,0,0,"['CROSSOVER DR', 'MARTIN LUTHER KING JR DR']",1,0,0,1,0,0
POINT(-122.47736283 37.7660624867),37.7660624867,-122.47736283,2021,"{""type"":""Point"",""coordinates"":[-122.47736283,37.7660624867]}",0,1,0,0,0,0,0,1,0,0,0,0,"['CROSSOVER DR', 'MARTIN LUTHER KING JR DR']",0,1,0,0,0,1
POINT(-122.477374311 37.7823605689),37.7823605689,-122.477374311,2012,"{""type"":""Point"",""coordinates"":[-122.477374311,37.7823605689]}",1,0,0,0,0,1,0,0,0,0,0,0,"['18TH AVE', 'CLEMENT ST']",1,0,0,1,0,0
POINT(-122.477374311 37.7823605689),37.7823605689,-122.477374311,2020,"{""type"":""Point"",""coordinates"":[-122.477374311,37.7823605689]}",1,0,0,0,0,1,0,0,0,0,0,0,"['18TH AVE', 'CLEMENT ST']",1,0,0,1,0,0
POINT(-122.477374311 37.7823605689),37.7823605689,-122.477374311,2021,"{""type"":""Point"",""coordinates"":[-122.477374311,37.7823605689]}",1,0,0,0,0,1,0,0,0,0,0,0,"['18TH AVE', 'CLEMENT ST']",1,0,0,1,0,0
POINT(-122.477414978 37.7523291026),37.7523291026,-122.477414978,2007,"{""type"":""Point"",""coordinates"":[-122.477414978,37.7523291026]}",1,1,0,0,0,1,1,0,0,0,0,0,"['20TH AVE', 'ORTEGA ST']",1,1,0,1,1,0
POINT(-122.477509349 37.7842224915),37.7842224915,-122.477509349,2007,"{""type"":""Point"",""coordinates"":[-122.477509349,37.7842224915]}",1,0,0,0,0,1,0,0,0,0,0,0,"['18TH AVE', 'CALIFORNIA ST']",1,0,0,1,0,0
POINT(-122.477509349 37.7842224915),37.7842224915,-122.477509349,2019,"{""type"":""Point"",""coordinates"":[-122.477509349,37.7842224915]}",0,1,0,1,0,0,0,1,0,0,0,1,"['18TH AVE', 'CALIFORNIA ST']",0,0,0,0,0,0
POINT(-122.477548503 37.7541927122),37.7541927122,-122.477548503,2009,"{""type"":""Point"",""coordinates"":[-122.477548503,37.7541927122]}",0,1,0,0,0,0,0,1,0,0,0,0,"['20TH AVE', 'NORIEGA ST']",0,1,0,0,0,1
POINT(-122.477548503 37.7541927122),37.7541927122,-122.477548503,2010,"{""type"":""Point"",""coordinates"":[-122.477548503,37.7541927122]}",0,1,0,0,0,0,0,1,0,0,0,0,"['20TH AVE', 'NORIEGA ST']",0,1,0,0,0,1
POINT(-122.477548503 37.7541927122),37.7541927122,-122.477548503,2011,"{""type"":""Point"",""coordinates"":[-122.477548503,37.7541927122]}",1,0,0,0,0,1,0,0,0,0,0,0,"['20TH AVE', 'NORIEGA ST']",1,0,0,1,0,0
POINT(-122.477548503 37.7541927122),37.7541927122,-122.477548503,2013,"{""type"":""Point"",""coordinates"":[-122.477548503,37.7541927122]}",1,0,0,0,1,0,0,0,0,0,0,0,"['20TH AVE', 'NORIEGA ST']",1,0,1,0,0,0
POINT(-122.477548503 37.7541927122),37.7541927122,-122.477548503,2014,"{""type"":""Point"",""coordinates"":[-122.477548503,37.7541927122]}",0,1,0,0,0,0,0,1,0,0,0,0,"['20TH AVE', 'NORIEGA ST']",0,1,0,0,0,1
POINT(-122.477548503 37.7541927122),37.7541927122,-122.477548503,2015,"{""type"":""Point"",""coordinates"":[-122.477548503,37.7541927122]}",0,2,0,0,0,0,1,1,0,0,0,0,"['20TH AVE', 'NORIEGA ST']",0,2,0,0,1,1
